date,time,tank_side,of_start,of_end,no_start
20190611,1331,Right,1723,20000,20892
20190611,1410,Right,2380,21791,22584
20190611,1454,Right,2815,21698,22351
20190611,1552,Right,2640,21549,22163
20190611,1628,Right,2434,21290,22020
20190611,1658,Right,2225,20800,21401
20190612,0952,Right,2601,23092,24107
20190612,1053,Right,3002,21682,22355
20190612,1123,Right,2594,21051,21654
20190612,1236,Right,2121,19971,20619
20190612,1326,Right,1725,20453,21048
20190612,1355,Right,2368,21361,21920
20190612,1425,Right,2209,20721,21259
20190612,1501,Right,2070,20804,21405
20190612,1534,Right,2658,21201,21745
20190612,1604,Right,2706,27060,27684
20190612,1636,Right,2881,21757,22308
20190612,1707,Right,2384,20837,21509
20190613,0953,Right,2753,21652,22202
20190613,1024,Right,2889,22790,23304
20190613,1054,Right,3230,22423,22982
20190613,1126,Right,3046,21441,21989
20190613,1156,Right,2379,13132,13667
20190613,1307,Right,3042,21853,22598
20190613,1338,Right,2723,21234,21718
20190613,1420,Right,3197,21885,22438
20190613,1511,Left,2704,22762,23328
20190613,1546,Right,2657,21932,22426
20190613,1617,Left,2698,21395,22131
20190613,1648,Right,2168,20955,21617
20190614,1108,Left,2456,20932,21546
20190614,1139,Right,2420,21234,21718
20190614,1208,Left,2287,21504,22060
20190614,1237,Left,1791,20467,21004
20190614,1307,Right,1681,20641,21631
20190614,1335,Left,2175,21140,21623
20190614,1404,Left,2723,21237,21782
20190614,1430,Left,2156,20594,21013
20190614,1456,Right,3187,21808,22370
20190614,1524,Right,2793,21346,21904
20190614,1553,Left,2407,20934,21745
20190614,1619,Left,2706,21027,21509
20190614,1644,Left,2639,20931,21531
20190615,1022,Left,1970,20475,21251
20190615,1051,Left,2656,21802,22358
20190615,1117,Left,2231,21932,22551
20190615,1145,Right,2165,20466,21146
20190615,1210,Right,2403,20906,21567
20190615,1236,Right,2251,21656,22082
20190615,1305,Right,2043,20843,21443
20190615,1332,Left,1966,20433,21148
20190615,1358,Left,1852,20551,21089
20190615,1423,Left,2263,21344,21772
20190615,1452,Left,2189,20910,21517
20190615,1518,Left,2030,20730,21284
20190615,1549,Left,1863,20486,21045
20190615,1616,Left,2649,20946,21668
20190615,1649,Left,2085,20550,21086
20190615,1714,Left,1778,20147,20799
20190616,0923,Left,2625,20933,21543
20190616,0948,Left,1772,20073,20723
20190616,1017,Right,1819,20118,20646
20190616,1045,Left,2093,20504,20982
20190616,1110,Left,1581,19959,20486
20190616,1135,Right,1874,20423,21088
20190616,1210,Right,2108,20656,21379
20190616,1227,Right,2277,21089,21509
20190616,1256,Left,1737,20605,21383
20190616,1325,Right,2144,20484,21139
20190616,1351,Left,2480,20819,21341
20190616,1417,Left,1959,20299,20952
20190616,1441,Left,2215,20647,21305
20190616,1506,Left,1804,20624,21165
20190616,1531,Left,2421,21057,21662
20190616,1556,Left,2071,21015,21746
20190616,1622,Left,2286,20929,21531
20190616,1651,Left,1980,21029,21647
20190616,1717,Left,2509,20787,21265
