sample,vid_length,int_floor,int_ceiling,area_floor,area_ceiling,analysed
20190611_1331_icab_icab_R_q1_novel_object,18566,0,155,80,200,
20190611_1331_icab_icab_R_q1_open_field,18277,0,155,80,200,
20190611_1331_icab_icab_R_q2_novel_object,18566,0,155,80,200,
20190611_1331_icab_icab_R_q2_open_field,18277,0,155,80,200,
20190611_1331_icab_icab_R_q3_novel_object,18566,0,155,80,200,
20190611_1331_icab_icab_R_q3_open_field,18277,0,155,80,200,
20190611_1331_icab_icab_R_q4_novel_object,18566,0,155,80,200,
20190611_1331_icab_icab_R_q4_open_field,18277,0,155,80,200,
20190611_1410_icab_kaga_R_q1_novel_object,19642,0,155,80,200,
20190611_1410_icab_kaga_R_q1_open_field,19411,0,155,80,200,
20190611_1410_icab_kaga_R_q2_novel_object,19642,0,155,80,200,
20190611_1410_icab_kaga_R_q2_open_field,19411,0,155,80,200,
20190611_1410_icab_kaga_R_q3_novel_object,19642,0,155,80,200,
20190611_1410_icab_kaga_R_q3_open_field,19411,0,155,80,200,
20190611_1410_icab_kaga_R_q4_novel_object,19642,0,155,80,200,
20190611_1410_icab_kaga_R_q4_open_field,19411,0,155,80,200,
20190611_1454_icab_hni_R_q1_novel_object,18376,0,155,80,200,
20190611_1454_icab_hni_R_q1_open_field,18883,0,155,80,200,
20190611_1454_icab_hni_R_q2_novel_object,18376,0,155,80,200,
20190611_1454_icab_hni_R_q2_open_field,18883,0,155,80,200,
20190611_1454_icab_hni_R_q3_novel_object,18376,0,155,80,200,
20190611_1454_icab_hni_R_q3_open_field,18883,0,155,80,200,
20190611_1454_icab_hni_R_q4_novel_object,18376,0,155,80,200,
20190611_1454_icab_hni_R_q4_open_field,18883,0,155,80,200,
20190611_1552_icab_hni_R_q1_novel_object,18479,0,155,80,200,
20190611_1552_icab_hni_R_q1_open_field,18909,0,155,80,200,
20190611_1552_icab_hni_R_q2_novel_object,18479,0,155,80,200,
20190611_1552_icab_hni_R_q2_open_field,18909,0,155,80,200,
20190611_1552_icab_hni_R_q3_novel_object,18479,0,155,80,200,
20190611_1552_icab_hni_R_q3_open_field,18909,0,155,80,200,
20190611_1552_icab_hni_R_q4_novel_object,18479,0,155,80,200,
20190611_1552_icab_hni_R_q4_open_field,18909,0,155,80,200,
20190611_1628_icab_hdr_R_q1_novel_object,18247,0,155,80,200,
20190611_1628_icab_hdr_R_q1_open_field,18856,0,155,80,200,
