,sample
0,20190611_1331_icab_icab_R_q1_novel_object
1,20190611_1331_icab_icab_R_q1_open_field
2,20190611_1331_icab_icab_R_q2_novel_object
3,20190611_1331_icab_icab_R_q2_open_field
4,20190611_1331_icab_icab_R_q3_novel_object
5,20190611_1331_icab_icab_R_q3_open_field
6,20190611_1331_icab_icab_R_q4_novel_object
7,20190611_1331_icab_icab_R_q4_open_field
8,20190611_1410_icab_kaga_R_q1_novel_object
9,20190611_1410_icab_kaga_R_q1_open_field
10,20190611_1410_icab_kaga_R_q2_novel_object
11,20190611_1410_icab_kaga_R_q2_open_field
12,20190611_1410_icab_kaga_R_q3_novel_object
13,20190611_1410_icab_kaga_R_q3_open_field
14,20190611_1410_icab_kaga_R_q4_novel_object
15,20190611_1410_icab_kaga_R_q4_open_field
16,20190611_1454_icab_hni_R_q1_novel_object
17,20190611_1454_icab_hni_R_q1_open_field
18,20190611_1454_icab_hni_R_q2_novel_object
19,20190611_1454_icab_hni_R_q2_open_field
20,20190611_1454_icab_hni_R_q3_novel_object
21,20190611_1454_icab_hni_R_q3_open_field
22,20190611_1454_icab_hni_R_q4_novel_object
23,20190611_1454_icab_hni_R_q4_open_field
24,20190611_1552_icab_hni_R_q1_novel_object
25,20190611_1552_icab_hni_R_q1_open_field
26,20190611_1552_icab_hni_R_q2_novel_object
27,20190611_1552_icab_hni_R_q2_open_field
28,20190611_1552_icab_hni_R_q3_novel_object
29,20190611_1552_icab_hni_R_q3_open_field
30,20190611_1552_icab_hni_R_q4_novel_object
31,20190611_1552_icab_hni_R_q4_open_field
32,20190611_1628_icab_hdr_R_q1_novel_object
33,20190611_1628_icab_hdr_R_q1_open_field
34,20190611_1628_icab_hdr_R_q2_novel_object
35,20190611_1628_icab_hdr_R_q2_open_field
36,20190611_1628_icab_hdr_R_q3_novel_object
37,20190611_1628_icab_hdr_R_q3_open_field
38,20190611_1628_icab_hdr_R_q4_novel_object
39,20190611_1628_icab_hdr_R_q4_open_field
40,20190611_1658_icab_ho5_R_q1_novel_object
41,20190611_1658_icab_ho5_R_q1_open_field
42,20190611_1658_icab_ho5_R_q2_novel_object
43,20190611_1658_icab_ho5_R_q2_open_field
44,20190611_1658_icab_ho5_R_q3_novel_object
45,20190611_1658_icab_ho5_R_q3_open_field
46,20190611_1658_icab_ho5_R_q4_novel_object
47,20190611_1658_icab_ho5_R_q4_open_field
48,20190612_0952_icab_icab_R_q1_novel_object
49,20190612_0952_icab_icab_R_q1_open_field
50,20190612_0952_icab_icab_R_q2_novel_object
51,20190612_0952_icab_icab_R_q2_open_field
52,20190612_0952_icab_icab_R_q3_novel_object
53,20190612_0952_icab_icab_R_q3_open_field
54,20190612_0952_icab_icab_R_q4_novel_object
55,20190612_0952_icab_icab_R_q4_open_field
56,20190612_1053_icab_kaga_R_q1_novel_object
57,20190612_1053_icab_kaga_R_q1_open_field
58,20190612_1053_icab_kaga_R_q2_novel_object
59,20190612_1053_icab_kaga_R_q2_open_field
60,20190612_1053_icab_kaga_R_q3_novel_object
61,20190612_1053_icab_kaga_R_q3_open_field
62,20190612_1053_icab_kaga_R_q4_novel_object
63,20190612_1053_icab_kaga_R_q4_open_field
64,20190612_1123_icab_hni_R_q1_novel_object
65,20190612_1123_icab_hni_R_q1_open_field
66,20190612_1123_icab_hni_R_q2_novel_object
